Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Cluster,PCA1,PCA2
164,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21.0,2003.0,23,18,1670,18.6,0,1,1,0,0,0,3,0,0.1,0.1,0.6,0.7,5,27,4,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.04,0.01,0.04,1,-1.35677982760277,1.1801074800467164
165,Marco Asensio,es ESP,MF,Aston Villa,eng Premier League,28.0,1996.0,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,1.0,3.8,22,45,38,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47,0,2.183129943861501,-2.6829774274769025
166,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28.0,1996.0,12,8,618,6.9,2,4,6,2,0,0,0,0,5.6,5.6,2.7,8.3,19,36,49,0.29,0.58,0.87,0.29,0.87,0.82,0.39,1.21,0.82,1.21,0,5.671682930707223,-5.58335481462568
167,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22.0,2002.0,22,10,988,11.0,2,2,4,0,2,2,4,0,2.5,0.9,1.9,2.8,7,55,20,0.18,0.18,0.36,0.0,0.18,0.22,0.17,0.39,0.08,0.25,1,0.330609203978846,-0.7603759364276673
168,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36.0,1987.0,30,19,1745,19.4,10,5,15,5,5,6,6,1,8.7,4.0,4.6,8.6,50,132,143,0.52,0.26,0.77,0.26,0.52,0.45,0.24,0.69,0.21,0.44,0,4.941426863989164,-0.13758621428756723
169,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,20.0,2003.0,27,15,1405,15.6,3,1,4,3,0,0,2,0,2.1,2.1,2.8,4.9,72,77,140,0.19,0.06,0.26,0.19,0.26,0.13,0.18,0.31,0.13,0.31,2,1.9721335876209938,0.5581587380968399
170,Lorenz Assignon,tg TOG,"DF,MF",Rennes,fr Ligue 1,24.0,2000.0,32,27,2357,26.2,3,4,7,3,0,0,9,0,2.2,2.2,3.5,5.7,98,116,206,0.11,0.15,0.27,0.11,0.27,0.08,0.14,0.22,0.08,0.22,2,3.0485648798602734,2.8518792055014375
171,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19.0,2005.0,12,0,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,1,15,0.0,0.0,0.0,0.0,0.0,0.08,0.83,0.91,0.08,0.91,1,0.44249743578325296,-3.557026055525624
172,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18.0,2005.0,34,33,2854,31.7,1,0,1,1,0,0,7,0,2.5,2.5,1.1,3.6,41,93,38,0.03,0.0,0.03,0.03,0.03,0.08,0.03,0.11,0.08,0.11,2,0.7412978876369629,3.1069376890635025
173,Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,21.0,2003.0,27,12,1251,13.9,0,1,1,0,0,0,5,0,1.3,1.3,1.4,2.8,31,57,77,0.0,0.07,0.07,0.0,0.07,0.1,0.1,0.2,0.1,0.2,2,-0.11551519847890049,0.6552435073349817
174,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22.0,2002.0,26,26,2307,25.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.3124429494413594,1.999343080070368
175,Emil Audero,id IDN,GK,Como,it Serie A,27.0,1997.0,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-2.703976092691493,-0.11672025363941047
176,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29.0,1994.0,38,30,2713,30.1,0,7,7,0,0,0,3,0,0.3,0.3,4.6,4.9,58,118,113,0.0,0.23,0.23,0.0,0.23,0.01,0.15,0.16,0.01,0.16,2,2.066307591636017,3.5332869352161067
177,Carlos Augusto,br BRA,DF,Inter,it Serie A,25.0,1999.0,29,15,1691,18.8,3,2,5,3,0,0,1,0,2.8,2.8,1.6,4.4,31,80,83,0.16,0.11,0.27,0.16,0.27,0.15,0.08,0.23,0.15,0.23,2,1.2177541956974223,0.8033782359965123
178,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23.0,2000.0,27,17,1643,18.3,3,2,5,3,0,0,4,0,2.6,2.6,0.9,3.4,32,93,44,0.16,0.11,0.27,0.16,0.27,0.14,0.05,0.19,0.14,0.19,2,0.88708241761104,0.8647760082322754
179,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25.0,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.279525328832202,-1.045799514392253
180,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30.0,1994.0,19,6,677,7.5,2,0,2,2,0,0,5,1,1.5,1.5,1.0,2.5,12,18,48,0.27,0.0,0.27,0.27,0.27,0.2,0.14,0.34,0.2,0.34,1,0.40654292220290145,-1.4792544453974208
181,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26.0,1997.0,26,3,416,4.6,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,0.22,0.0,0.22,0.22,0.22,0.46,0.02,0.48,0.46,0.48,0,0.617366646763138,-2.550191448092132
182,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,20.0,2003.0,34,22,1965,21.8,2,1,3,2,0,0,3,0,2.4,2.4,2.3,4.8,30,75,61,0.09,0.05,0.14,0.09,0.14,0.11,0.11,0.22,0.11,0.22,2,0.8947913988743541,1.4675850444883345
